release_id,artist,title,year,format,lowest_gbp,num_for_sale
22977998,"Kenny ""Dope"" Gonzalez",Brazil45: Mr Bongo x Kenny Dope,2022,"5x7"" + Box, RSD, Comp, Ltd",25.38,59
27530352,Don Blackman,Say You'll Be Mine,2023,"7""",8.88,34
30430802,DJ Koco A.K.A. Shimokita,Brazil45: Mr Bongo x DJ Koco,2024,"5x7"" + Box, RSD, Comp, Ltd",77.44,8
33584004,BadBadNotGood,Brazil45: Mr Bongo x BadBadNotGood,2025,"5x7"", RSD, Comp, Ltd, Box",30.0,94
848317,Seu Jorge,Carolina,2002,"2xLP, Album",21.45,11
23815751,Various,Brazilian Beats Brooklyn,2022,"2xLP, Comp, RP",16.35,7
25043104,Ebo Taylor,Ebo Taylor,2022,"LP, Album, RE",18.05,14
31306260,Arthur Verocai,Arthur Verocai,2024,"LP, Album, RE, RM, Gat",19.07,68
9282972,Various,Mr Bongo Record Club Volume One,2016,"2xLP, Comp",15.49,44
12191547,Jackson Sisters,Jackson Sisters,2018,"LP, Album, RE",12.58,41
13474217,Various,Mr Bongo Record Club Volume Three,2019,"2xLP, Comp",21.43,12
18584734,Sandra De Sá,Vale Tudo,2021,"LP, Album, RE",17.21,30
22507847,Various,Mr Bongo Record Club Volume Five,2022,"2xLP, Comp",21.51,33
22967606,Luke Una,É Soul Cultura,2022,"2xLP, Comp",17.21,29
24627710,Miche (8),With Love Volume 1,2022,"2xLP, Comp, Ltd, Yel",18.5,22
24951277,СОЮЗ (2),Force Of The Wind,2022,"LP, Album",18.46,11
26278544,Various,Tudo Ben (Jorge Ben Covered),2023,"2xLP, Comp, RE",15.49,51
27359775,Luke Una,É Soul Cultura Volume 2,2023,"2xLP, Comp",6.88,35
27506742,Various,Mr Bongo Record Club Volume Six,2023,"2xLP, Comp",14.62,48
33481571,Horse Meat Disco,Disco & Boogie From Brazil Vol.1,2025,"2xLP, Comp, Gre",22.52,40
31122719,Finn Rees,Dawn Is A Melody,2024,"2x12"", Album",22.2,11
35471257,СОЮЗ (2),Крок = Krok,2025,"LP, Album",18.46,34
36719113,Luke Una,É Soul Cultura Volume 3,2026,"2xLP, Comp",22.16,44
13207696,Trio Mocotó,Trio Mocotó,2019,"LP, Album, RE, RM",21.51,3
11708752,Tim Maia,Disco Club,2018,"LP, Album, RE",18.46,26
14681173,Quinteto Ternura / Trio Ternura,Baby / Filhos De Zambi ,2019,"7"", Single, RE",4.88,12
27364287,Bala Desejo,Sim Sim Sim,2023,"LP, Album, Ltd, Red",12.46,8
33985278,Luke Una,É Soul Cultura Edits,2025,"12""",13.76,38
15862351,Souls Of Mischief,93 'Til Infinity,2020,"7"", Ltd",18.49,8
14888945,Solat,"Change The World / Try, Try",2020,"7"", Single, RE",10.0,14
13783116,Zé Roberto,Lotus 72 D,2019,"7"", Single, RE",11.06,17
27089109,Various,Hidden Waters: Strange And Sublime Sounds Of Rio De Janeiro,2023,"2xLP, Comp",12.0,47
13301732,Eko Roosevelt Louis / Georges Ouedraogo,Afro Funk & Disco Gems (Volume Nine),2019,"7"", Ltd",12.91,7
15246064,Pat Thomas (3) & Marijata,Original Ghanaian Highlife & Afrobeat Classics,2020,"7"", Ltd, Num",23.72,4
15291486,Devon Russell,Reggae Soul Tribute To Curtis Mayfield,2020,"7"", Single, Ltd",30.12,18
28767517,C.R.A.C.,You're Everything To Me,2023,"7""",14.62,3
29512423,Echoes Of A New Dawn Orchestra,Substream,2024,"12"", Ltd, Num, 180",25.0,6
29968423,Espen Horne,Bakeren,2024,"7"", Ltd, Num",14.06,4
33650484,Gilles Peterson,Timeless Jazz Classics Volume 2,2025,"2xLP, RSD, Comp, Ltd, Num, Blu",28.31,26
30427715,Gilles Peterson,Timeless Jazz Classics Volume 1,2024,"2xLP, RSD, Comp, Ltd, Num, RE, Sil",24.41,10
17239606,Island Times Deejay,Mystical Circles 01,2021,"12"", Ltd, Promo, 180",43.02,3
26920379,Asha Puthli,Space Talk (With Remixes By Dimitri From Paris),2023,"12""",13.68,34
13648709,Rare Pleasure /  The Fatback Band,Let Me Down Easy / Spanish Hustle,2019,"12""",33.98,5
26829836,Miles Spilsbury,Light Manoeuvres,2023,"LP, Album, W/Lbl",9.0,7
12388769,Zero 7,Simple Things,2018,"2xLP, Album, RE, RM, 180",18.5,32
13965784,Zero 7,When It Falls,2019,"2xLP, Album, RE, RM, 180",18.92,34
23192537,Nu Genea,Bar Mediterraneo,2022,"LP, Album",22.16,40
12097296,Nu Guinea,Nuova Napoli,2018,"LP, Album, RP, Nu ",14.63,48
35785837,Stargazers (3),Stargazers,2025,"LP, Album, Num, Rec",21.0,20
14242659,Mr. Scruff,Keep It Unreal (20th Anniversary Edition),2019,"2x12"", Album, Ltd, RE, Gre",55.0,2
26745971,The Cinematic Orchestra,Every Day,2023,"3xLP, Album, Dlx, Ltd, RE, Red",25.42,24
16286279,Bonobo,Black Sands,2020,"2xLP, Album, Ltd, Red",40.7,20
28154968,Róisín Murphy,Hit Parade,2023,"2xLP, Album",7.4,83
14660470,Madison McFerrin,You + I,2019,"12"", EP, Ltd, Num, Cle",116.42,5
23803919,Admin,Halo / Rivers,2022,"7"", Ltd, W/Lbl",3.99,12
8827787,Anderson .Paak,Malibu,2016,"2xLP, Album, 180",19.47,75
14190889,Kansas City Express,This Is The Place,2019,"7"", RE",29.99,9
15489714,Gold (16),You Are So Wonderful / Without You,2020,"7""",5.55,22
7341336,HNNY,Sunday,2015,"LP, Dlx, 180",25.81,1
27083859,Yazmin Lacey,Voice Notes,2023,"2xLP, Album",23.18,23
14343535,Various,P&P Disco,2019,"2xLP, Comp, 180",20.64,9
22529090,Sundown (8),Spaced Outta Place,2022,"7"", RE",7.35,28
4791171,The Beatles,A Hard Day's Night,1964,"LP, Album, Nar",20.0,16
8565519,The O'Jays,Ship Ahoy,0,"LP, Album, RE, Gat",2.4,16
11542470,The Jones Girls,Nights Over Egypt,2018,"12"", RE, RM",13.99,27
1709773,Billy Paul,Let 'Em In,1976,"LP, Album, San",0.73,92
27736119,Sven Wunder,Late Again,2023,"LP, Album",19.24,66
35204989,Sven Wunder,Daybreak,2025,"LP, Album, Ltd, Blu",29.99,1
18308632,Alex Kassian,Leave Your Life,2021,"12"", EP",11.1,34
23222693,Alex Kassian,Strings Of Eden ,2022,"12""",107.56,5
18209002,Fire Island Ft.  Loleatta Holloway,Shout To The Top (Hifi Sean Mixes),2021,"12""",30.12,4
13865109,Azwon,Paradise Island,2019,"12""",9.47,14
1445355,Steely Dan,Pretzel Logic,1974,"LP, Album, Bei",8.6,44
12877101,Skye (7),Ain’t No Need / Ain’t No Need (Dance),2018,"7"", Ltd, Num, RE",43.88,3
13504530,Mr. K,Mr. K Edits,2019,"12""",10.72,22
13568476,COEO,COEO Edits,2019,"12""",12.05,34
32419512,Tom Noble (3) Presents House Of Spirits (2),House Of Spirits,2024,"2x12"", Album",21.46,24
5657211,David Bowie,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars,0,"LP, Album, Unofficial, Pin",,
31952045,Luke Una,Everything Above The Sky ,2024,"2xLP, Comp",16.79,36
94532,Change,The Glow Of Love,1980,"LP, Album, Los",3.7,50
5167490,Stardust,Music Sounds Better With You,2013,"12"", S/Sided, Etch, RE, MPO",15.0,21
11894956,Late Nite Tuff Guy,Late Nite Tuff Guy Reworks,2018,"12""",21.51,5
16278978,Rhyze / John Davis & The Monster Orchestra,Free / Love Magic,2020,"7""",8.88,8
13671044,Mario Biondi,This Is What You Are,2019,"7"", Single",22.19,3
